,coffee_name,타입,로스팅 포인트,지속가능성,컵 노트,바디감,신맛,단맛,쓴맛
1085,과테말라 SHB SW 디카프,디카페인,미디엄,,"너트, 꿀, 레몬그라스",3,2,3,3
4611,클래식 블렌드,블렌드,다크,,-,4,1,4,3
72,Blend N.4,블렌드,다크,,"구운 견과류, 브라운 슈가, 카라멜",4,1,4,3
1073,노네임블렌드,블렌드,미디엄다크,,"아몬드, 월넛, 오렌지, 다크 초콜릿",3,2,4,3
4707,과테말라 스위스 디카페인,디카페인,미디엄다크,,-,3,3,3,1
3355,그레이무드 블랜드,블렌드,미디엄다크,,-,4,1,5,1
1023,블랙 앤 모어,블렌드,다크,,"호두, 다크초콜릿, 카카오, 버터",5,1,4,2
3583,스프링 블렌드,블렌드,미디엄,,-,3,4,3,2
3447,하이로 디카프리오,디카페인,미디엄,직접무역,-,3,4,4,2
4760,휘둥그레블렌드,블렌드,미디엄다크,공정무역,-,4,1,4,3
193,마리모,블렌드,다크,,"다크 초콜릿, 블랙 슈가",4,1,4,3
3908,얼반아이트 블렌드,블렌드,다크,,-,5,1,5,3
3232,과테말라 파노라마,싱글오리진,미디엄다크,,-,3,1,4,2
4153,화사한 빈도,블렌드,라이트미디엄,,-,3,3,4,3
4841,온두라스 COE#10 아구아 둘세 게이샤 워시드,싱글오리진,라이트미디엄,,-,3,4,4,2
3585,윈터 블렌드,블렌드,미디엄다크,,-,4,1,3,4
4692,M블랙,블렌드,다크,,-,5,1,4,3
4599,디카페인 콜롬비아,디카페인,미디엄다크,공정무역,-,3,2,3,2
3027,퍼플렄 블렌드,블렌드,라이트미디엄,,-,3,3,4,1
4321,써니비치,블렌드,라이트미디엄,,-,2,4,4,1
3590,에티오피아 예가체프 아리차 G1 워시드,싱글오리진,라이트,,-,3,4,4,1
3395,커먼센스 블렌드,블렌드,미디엄다크,,-,4,1,3,2
3199,바이올렛 블렌딩 커피,블렌드,미디엄다크,,-,2,2,3,1
1476,다크 아이보리 블렌드,블렌드,다크,,"캐슈넛, 구운아몬드, 밀크초콜렛",5,1,4,2
3012,우리집블렌드,블렌드,미디엄다크,공정무역,-,3,2,4,1
8,파나마 코토와 돈케이,싱글오리진,라이트미디엄,직접무역,초콜릿,4,4,5,2
124,콜롬비아 디카페인,디카페인,다크,,"초콜릿, 건자두, 흙설탕",3,1,4,3
1209,BRICK 블랜드,블렌드,미디엄다크,,"다크초콜릿, 사탕수수",4,1,4,1
174,ESPRESSO 3s,블렌드,다크,직접무역,"과일잼, 홍차, 좋은 단맛",3,3,4,2
232,나이트아울 블렌드,블렌드,미디엄,공정무역,초콜릿,4,2,5,3
3909,타이거릴리,디카페인,라이트미디엄,직접무역,-,3,3,4,2
2993,블렌드 너티 퍼플,블렌드,미디엄다크,,-,4,1,4,3
3429,데일리 스윗 플러스,블렌드,미디엄,,-,3,4,4,3
191,리들리,블렌드,미디엄다크,,"볶은 견과류, 아몬드 초콜릿, 몰트",4,2,4,3
4455,BURUNDI ROYAL BEATS(부룬디 로얄 비츠),싱글오리진,미디엄,직접무역,-,4,3,3,2
4014,과테말라 와이칸 워시드,싱글오리진,라이트미디엄,,-,3,3,4,2
