,타입,로스팅 포인트,지속가능성,컵 노트,바디감,신맛,단맛,쓴맛
와이칸 다크,싱글오리진,다크,직접무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""41A339B548E020BD55E80F02587DDD84_element_13162"")>",4,4,5,4
Enak 블렌딩,블렌드,미디엄,유기농,-,4,2,4,3
송버드(Song Bird),블렌드,미디엄,,-,2,4,4,1
인도네시아 만델링 G1 트리플픽,싱글오리진,미디엄다크,,-,4,1,4,4
에티오피아 시다모 G1 봄베 와인 내추럴,싱글오리진,라이트,,-,2,4,4,1
초콜릿 블렌드,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""86887086C934CC52022CD30230A8F565_element_13666"")>",4,3,4,2
D1,블렌드,미디엄다크,,-,4,2,4,3
Blend Base,블렌드,다크,,-,3,1,2,4
더블 캐스트,블렌드,라이트미디엄,,-,2,4,3,1
커먼센스 블렌드,블렌드,미디엄다크,,-,4,1,3,2
에티오피아 예가체프 G2,싱글오리진,미디엄,,-,2,3,2,1
트로피칼 플라워 게이샤 무산소,싱글오리진,라이트,,-,3,4,4,1
스프링 블렌드,블렌드,미디엄,,-,3,4,3,2
올드타운로드 하우스블랜드,블렌드,다크,,-,4,1,5,4
데일리뷰티 블렌드,블렌드,미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""FB7E4422B04547D730BAFDC2FC2DEA42_element_14619"")>",4,2,4,2
시그니처블렌드 S,블렌드,미디엄다크,,-,4,2,5,1
에티오피아 반코 고티티 G1 워시드,싱글오리진,라이트,,-,2,4,3,1
아이올라이트 블렌드,블렌드,미디엄다크,,-,4,2,4,4
하늘에 시그니처 블랜딩,블렌드,라이트미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""16BF650AC35912BB44BDCC330D944ADC_element_15021"")>",2,4,4,1
오차드 블렌딩,블렌드,미디엄다크,,-,3,2,4,2
포스트업,블렌드,다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""0816BD84460E1B14EB1593079EE2CF5D_element_15199"")>",5,1,5,1
버터 슬럽 블렌드,블렌드,미디엄다크,,-,4,1,4,2
MAUNA LOA(마우나 로아),블렌드,미디엄다크,직접무역,-,4,2,4,3
불켜진공장 블렌드,블렌드,미디엄다크,,-,4,2,4,2
에티오피아 예가체프 게뎁 단체 첼베사 워시드 G1,싱글오리진,라이트,,-,2,3,3,1
디카프 슬럽,디카페인,미디엄,,-,3,3,4,1
카메오 블렌딩,블렌드,미디엄다크,,-,4,1,3,4
몽상스,싱글오리진,미디엄,직접무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""A3A43C667996DEC8AB5D3B7F0832ED75_element_15865"")>",5,4,5,3
파나마 코토와 돈케이,싱글오리진,라이트미디엄,직접무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""7203EF333542D97BE9D5219B3A6AD950_element_15952"")>",4,4,5,2
아게다 블렌딩,블렌드,라이트미디엄,,-,2,4,4,2
J브라운,블렌드,미디엄,,-,4,1,4,3
디카페인 브라질,디카페인,미디엄다크,공정무역,-,4,2,3,2
문래 블렌드,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""DD254554DADC0236ECA878B06E8EE969_element_16326"")>",5,1,5,4
에티오피아 딤투 테로 내츄럴,싱글오리진,라이트,,-,3,3,4,1
아프로디테 블렌딩,블렌드,라이트미디엄,,-,2,3,4,2
세피아 블렌딩,블렌드,미디엄다크,,-,4,1,4,4
브라우니 블렌드,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""0EE1F5EEB4380310E0F296AFEAF3DD17_element_16707"")>",4,1,4,2
기디 블렌드,블렌드,라이트미디엄,,-,2,4,4,1
브라질 핀할 카티구아,싱글오리진,라이트,,-,3,5,4,1
시그니처블렌드 D,블렌드,미디엄다크,,-,5,1,5,1
알렉세이션,블렌드,미디엄,,-,3,3,4,1
블렌드 슈퍼 노멀,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""AEF87B2FCF6A681D92CCCBF35BD45613_element_17167"")>",4,2,5,3
브라운 블렌딩 커피,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""E5A3DFF81912A2BD4CAED0D00041715D_element_17270"")>",5,1,5,3
브라질 세하도 NY2,싱글오리진,미디엄다크,,-,3,1,3,3
돌담in애월,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""02A62048C38796A4F9087DE836655D11_element_17480"")>",5,2,5,3
아이보리 블렌드,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""EEBDED9ADEF497EFDD1DE53FCC043B94_element_17584"")>",4,3,4,2
엘리 크릭,블렌드,미디엄다크,직접무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""A8F0022354487FE7425D3F0BA3BEB0C6_element_17690"")>",3,3,2,4
콜롬비아 디에고 베르가라 자바 이스트 무산소발효 워시드,싱글오리진,라이트미디엄,직접무역,-,3,4,4,2
하이로 디카프리오,디카페인,미디엄,직접무역,-,3,4,4,2
블랙수트 블랜드,블렌드,미디엄,,-,3,2,3,1
데일리블렌드,블렌드,미디엄다크,공정무역,-,4,1,5,3
콜롬비아 라 레오나 만다린,싱글오리진,라이트미디엄,,-,3,4,4,1
꼬소한쌀밥 블렌딩,블렌드,다크,,-,4,1,5,5
이븐 블렌드,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""2347E7C58D223D819B4F5E098079200C_element_18356"")>",4,1,3,3
케냐 야라 AB TOP,싱글오리진,라이트,,-,1,4,4,1
블랙렄 블렌드,블렌드,다크,,-,4,1,4,2
콜롬비아 모틸론,싱글오리진,미디엄다크,,-,4,2,4,1
레이크 맥켄지,블렌드,미디엄,공정무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""5F20100A3640942B3BCCBF488DFB2F53_element_18744"")>",3,3,3,2
블랙 스트림 4kg,블렌드,미디엄다크,,-,5,1,4,3
모노그램(Mono Gram),블렌드,미디엄다크,,-,3,3,5,2
프렌치,블렌드,다크,직접무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""AC6207F1CD468AD602A8D048B6433E18_element_19020"")>",5,1,4,4
에티오피아 케라모 G1 워시드,싱글오리진,미디엄,,-,2,3,3,1
ESPRESSO DECAF(디카페인),디카페인,다크,직접무역,-,4,2,2,3
과테말라 안티구아 SHB,싱글오리진,미디엄다크,,-,3,1,3,1
오렌지 슈가 블렌드,블렌드,미디엄,,-,3,4,4,2
상큼한초밥 블렌딩,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""755BB11326AA0D16CE0B6A57C026C362_element_19474"")>",3,3,3,2
CLASSIC BLEND,블렌드,다크,직접무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""FD3A977A546F262EE148D8FF9B6B96E1_element_19557"")>",3,3,4,2
디카페인 에티오피아 예가체프 콩가 내추럴,디카페인,미디엄,유기농,-,3,4,5,3
브라질 파젠다 산타루시아 펄프드내추럴,싱글오리진,라이트미디엄,,-,3,3,3,3
더 블랙,블렌드,다크,직접무역,-,5,1,3,4
과테말라 SHB 마운틴워터 디카페인,디카페인,미디엄다크,,-,3,3,4,3
BACS 다크 블렌드,블렌드,다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""B8C888D6EE60B24BC7E186ADAD23A7C2_element_20037"")>",4,2,3,1
오아시스 블렌드,블렌드,미디엄,,-,3,3,5,1
시그니처블렌드 A,블렌드,미디엄다크,,-,5,1,5,1
케냐 뚱구리 AA,싱글오리진,라이트,,-,3,4,4,1
핀카 엘피날 린다 비스타 게이샤,싱글오리진,라이트,,-,3,4,4,1
DCW 블렌드,디카페인,미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""CB4194930B6D45441CC94F1DD1BD8564_element_20525"")>",2,2,3,2
써니비치,블렌드,라이트미디엄,,-,2,4,4,1
타이거릴리,디카페인,라이트미디엄,직접무역,-,3,3,4,2
화사한 빈도,블렌드,라이트미디엄,,-,3,3,4,3
디카페인 에티오피아 예가체프 워카 내추럴 스위스 워터,디카페인,다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""6027DAE45674DE88358D3DB665190B6C_element_20845"")>",4,2,4,3
302 블렌드,블렌드,미디엄다크,유기농,-,4,3,5,2
콜롬비아 엘 카르멘 워시드,싱글오리진,미디엄,공정무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""D59F2E9CDBC50CBF49EA7B7F90A8DDFC_element_21012"")>",4,2,5,2
도화 블렌드,블렌드,미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""AAFE33D2369C5DDE7AACD245BD8BA23E_element_21093"")>",4,3,4,3
Winter 블렌딩,블렌드,미디엄다크,유기농,-,5,1,4,3
세븐레이크,블렌드,미디엄,,-,3,3,4,3
디카페인 블렌딩,디카페인,미디엄다크,,-,4,3,4,2
브라질 옐로우버번 MWP 디카페인원두,디카페인,미디엄다크,,-,3,2,5,3
위WE,블렌드,미디엄,직접무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""36CCEA7363A11BFF3E5F61A19FAF40D1_element_21525"")>",3,4,5,2
카펜터,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""EFB09A03324702B25DF0F76A7C6FCCEE_element_21610"")>",3,3,4,3
레드베릴 블렌드,블렌드,미디엄,,-,2,4,4,2
캠프파이어 블렌드,블렌드,미디엄,,-,3,3,3,3
에티오피아 코케 허니 예가체프 G1,싱글오리진,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""AE413BDCB652DB20C6D0DA6395B8CF60_element_21903"")>",3,4,5,1
올드네이버,블렌드,다크,,-,5,1,4,4
과테말라 디카페인 마운틴워터 프로세스,디카페인,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""EB8CE82A3B8A9023103F7A1AD6290C43_element_22192"")>",4,3,4,2
R 블렌드,블렌드,미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""2627EED558AAA9FFBECE76151CC725E0_element_22296"")>",3,3,3,2
디카페인 블렌드 위켄드,디카페인,미디엄다크,,-,4,1,4,3
COLOMBIA TAMARA(콜롬비아 타마라),싱글오리진,미디엄,직접무역,-,4,3,3,3
카라멜 슬럽 블렌드,블렌드,미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""9123B1A37536537CA19F62B5397D8476_element_22586"")>",3,2,4,2
로엄버 블렌딩,블렌드,미디엄,,-,3,2,3,3
아이에스오 백,블렌드,다크,,-,4,1,3,3
조바티 디카페인 블렌드,디카페인,미디엄다크,직접무역,-,3,3,3,2
과테말라 산로렌조 엘쿠로 블랙허니,싱글오리진,라이트미디엄,,-,3,3,3,3
시즈널 블렌드 '여름',블렌드,라이트,공정무역,-,3,4,4,2
