userid,coffeeid,Stars,created_date
22,156,2,2023-11-16 02:27:21.035161
22,247,3,2023-11-16 02:27:21.040274
22,274,5,2023-11-16 02:27:21.043974
22,426,1,2023-11-16 02:27:21.047904
22,519,4,2023-11-16 02:27:21.054107
22,524,4,2023-11-16 02:27:21.057691
23,37,5,2023-11-16 03:28:02.705384
27,82,4,2023-11-16 03:28:02.711648
23,131,4,2023-11-16 03:28:02.715126
27,146,3,2023-11-16 03:28:02.718513
23,174,3,2023-11-16 03:28:02.721882
27,205,3,2023-11-16 03:28:02.726312
23,267,3,2023-11-16 03:28:02.729945
27,270,3,2023-11-16 03:28:02.741152
23,468,3,2023-11-16 03:28:02.745328
27,546,3,2023-11-16 03:28:02.748920
23,23,4,2023-11-16 03:37:21.710949
27,105,3,2023-11-16 03:37:21.714350
23,138,3,2023-11-16 03:37:21.717194
27,198,4,2023-11-16 03:37:21.719291
23,246,4,2023-11-16 03:37:21.722150
27,283,3,2023-11-16 03:37:21.723501
23,342,3,2023-11-16 03:37:21.726147
27,369,3,2023-11-16 03:37:21.728277
23,411,3,2023-11-16 03:37:21.731205
27,549,3,2023-11-16 03:37:21.734274
25,179,3,2023-11-16 03:38:53.911464
25,184,3,2023-11-16 03:38:53.915285
25,207,5,2023-11-16 03:38:53.918740
25,267,3,2023-11-16 03:38:53.922012
25,304,3,2023-11-16 03:38:53.923686
25,318,3,2023-11-16 03:38:53.927141
25,329,3,2023-11-16 03:38:53.930628
25,404,3,2023-11-16 03:38:53.934148
25,413,3,2023-11-16 03:38:53.935870
25,549,3,2023-11-16 03:38:53.939215
24,179,3,2023-11-16 03:39:09.102450
24,184,3,2023-11-16 03:39:09.105292
24,207,5,2023-11-16 03:39:09.106712
24,267,3,2023-11-16 03:39:09.109465
24,304,3,2023-11-16 03:39:09.110959
24,318,3,2023-11-16 03:39:09.113893
24,329,3,2023-11-16 03:39:09.115401
24,404,3,2023-11-16 03:39:09.118162
24,413,3,2023-11-16 03:39:09.119925
24,549,3,2023-11-16 03:39:09.123530
24,38,4,2023-11-16 04:25:30.130760
24,94,5,2023-11-16 04:25:30.139379
24,135,4,2023-11-16 04:25:30.142601
24,213,2,2023-11-16 04:25:30.145838
24,246,3,2023-11-16 04:25:30.147408
24,256,4,2023-11-16 04:25:30.150938
24,283,5,2023-11-16 04:25:30.154247
24,296,4,2023-11-16 04:25:30.155932
24,475,4,2023-11-16 04:25:30.157460
24,547,4,2023-11-16 04:25:30.159931
26,12,4,2023-11-16 05:17:04.643852
26,33,4,2023-11-16 05:17:04.651002
26,91,2,2023-11-16 05:17:04.654371
26,145,3,2023-11-16 05:17:04.657850
26,148,2,2023-11-16 05:17:04.659867
26,157,3,2023-11-16 05:17:04.667848
26,257,2,2023-11-16 05:17:04.672669
26,305,4,2023-11-16 05:17:04.675774
26,446,3,2023-11-16 05:17:04.679385
26,516,3,2023-11-16 05:17:04.682675
28,2,4,2023-11-16 05:19:42.298806
28,19,3,2023-11-16 05:19:42.304782
28,102,3,2023-11-16 05:19:42.308553
28,104,3,2023-11-16 05:19:42.312066
28,191,4,2023-11-16 05:19:42.315322
28,252,2,2023-11-16 05:19:42.318929
28,311,2,2023-11-16 05:19:42.322473
28,382,2,2023-11-16 05:19:42.327360
28,453,5,2023-11-16 05:19:42.331168
28,471,4,2023-11-16 05:19:42.335171
29,65,4,2023-11-16 05:22:23.887994
29,135,4,2023-11-16 05:22:23.891742
29,143,5,2023-11-16 05:22:23.895136
29,175,4,2023-11-16 05:22:23.898828
29,216,4,2023-11-16 05:22:23.902498
29,246,4,2023-11-16 05:22:23.908019
29,318,4,2023-11-16 05:22:23.911415
29,359,4,2023-11-16 05:22:23.915531
29,420,5,2023-11-16 05:22:23.919033
29,503,5,2023-11-16 05:22:23.923627
30,121,2,2023-11-16 05:23:30.088693
30,189,5,2023-11-16 05:23:30.091772
30,199,2,2023-11-16 05:23:30.094229
