,ID,타입,로스팅 포인트,지속가능성,컵 노트,바디감,신맛,단맛,쓴맛
엘 살바도르 라 시베리아 레드버번 워시드,3486,싱글오리진,라이트,,-,3,3,5,2
콜린,3,블렌드,미디엄다크,공정무역,"다크 초콜릿, 체리, 아몬드",4,2,4,1
썸즈업 블렌드,1104,블렌드,미디엄다크,,"다크 초콜릿, 카카오, 마카다미아, 건포도",4,1,3,2
네이비렄다크 블렌드,3031,블렌드,다크,,-,4,1,4,2
모노톤,227,블렌드,미디엄다크,,초콜릿,4,1,4,4
몬스테라,190,블렌드,미디엄,,"크랜베리, 라즈베리, 밀크 초콜릿",3,4,4,1
반달 베어 블랜딩,3607,블렌드,미디엄다크,,-,5,1,5,3
릴렉스 블렌드,3404,블렌드,미디엄,,-,4,1,5,2
인도네시아 만델링 G1,4604,싱글오리진,다크,공정무역,-,4,3,3,4
길들인다,3151,블렌드,미디엄다크,공정무역,-,4,1,3,1
카프리,3508,디카페인,미디엄다크,,-,4,1,4,3
Decaffeinated Blend,194,디카페인,미디엄,,"헤이즐넛, 아몬드, 흑설탕, 크리미한 바디감",4,3,3,2
과테말라 스위스 디카페인,4707,디카페인,미디엄다크,,-,3,3,3,1
케냐 키린야가 캄완기 AA TOP,1702,싱글오리진,라이트,,"오렌지,자몽,달콤함,라운드바디",2,3,5,1
바다뷰 디카페인,3946,디카페인,미디엄다크,,-,4,3,3,2
아몰렌떼 디카페인 원두 커피,3921,디카페인,미디엄다크,,-,4,2,4,2
콜롬비아 엑셀소 EP 디카페인 마운틴 워터,1707,디카페인,미디엄다크,,"카라멜, 초콜릿, 오렌지, 슈가케인, 볶은피넛",3,1,3,2
일상 블렌드 A (아메리카노),3721,블렌드,미디엄,,-,4,3,5,3
에티오피아 워르카 우리 워시드,4767,싱글오리진,라이트,,-,3,3,4,1
다크초코 블렌딩,1120,블렌드,미디엄다크,,다크 초콜릿,4,3,4,2
이탈리안잡 블렌드,141,블렌드,미디엄다크,,"흑당, 다크초콜릿, 균형감",4,2,4,4
봄의 제전,205,블렌드,미디엄,직접무역,"블루베리, 라즈베리, 장미, 향기로운 과일 향기",5,4,5,2
노네임블렌드,1073,블렌드,미디엄다크,,"아몬드, 월넛, 오렌지, 다크 초콜릿",3,2,4,3
그레이 블렌드,3140,블렌드,미디엄다크,,-,4,2,3,2
필베러,19,블렌드,미디엄,,"달콤한 산미, 자두, 복숭아, 갈색설탕, 좋은 밸런스",3,3,4,1
아이리스,9,블렌드,라이트미디엄,,"스트로베리, 복숭아, 브라운슈가, 밀크초콜릿, 길고 깨끗한 여운",2,4,4,2
헬로 다크니스,1018,블렌드,다크,,-,5,1,4,4
다크우드,119,블렌드,다크,직접무역,"베리, 초콜릿",4,3,5,3
에티오피아 예가체프 첼베사 워시드,3810,싱글오리진,미디엄,,-,3,4,4,2
프레쉬 블렌드,4613,블렌드,라이트미디엄,,-,3,4,4,1
카페5060,4759,블렌드,미디엄다크,공정무역,-,3,1,3,3
부릉부릉,4819,블렌드,라이트미디엄,,-,3,4,4,1
아이스브레이커,272,블렌드,미디엄,,"적사과, 마카다미아, 자두",4,4,5,1
콜롬비아 E.A 디카페인,1088,디카페인,미디엄다크,,"군고구마, 군밤, 흑설탕, 견과류",4,2,4,3
2nd WAVE : Customizing,23,블렌드,미디엄다크,공정무역,"밀크 초콜릿, 오렌지, 베리류",4,3,4,2
딥씨 블렌드,104,블렌드,미디엄,,"귤, 포도, 초콜릿",3,3,4,3
조바티 클래식 블렌드,3910,블렌드,미디엄다크,직접무역,-,4,2,3,3
시에나,3040,블렌드,미디엄다크,,-,5,1,5,2
다크 브라운,3039,블렌드,다크,,-,5,1,5,4
코스타리카 따라주,4605,싱글오리진,미디엄다크,공정무역,-,3,2,3,3
브라운렄블렌드,3028,블렌드,미디엄다크,,-,4,2,4,2
에티오피아 예가체프 G1 할로 베리티 워시드,3061,싱글오리진,미디엄,,-,2,3,4,2
블랙오르페우스,266,블렌드,다크,,-,5,1,4,4
파푸아뉴기니 AA 쿠아 블루마운틴 풀리워시드,4427,싱글오리진,미디엄,,-,3,3,4,3
에티오피아 모모라 내추럴 구지 G1,1706,싱글오리진,라이트미디엄,,"꿀, 살구, 체리, 딸기, 복숭아, 재스민, 감귤",3,4,4,1
블렌드 신월,1471,블렌드,다크,,"맥아, 흑맥주, 그레인, 다크초콜릿, 스무스바디",5,1,4,4
과테말라 SHB 스위스워터 디카페인,2995,디카페인,미디엄다크,,-,4,2,4,3
시다모 파피초 내추럴,3763,싱글오리진,라이트,,-,3,4,4,1
에티오피아 시다모 워시드 G2,4706,싱글오리진,미디엄다크,,-,3,3,3,1
Seasonal Blend,197,블렌드,라이트미디엄,직접무역,"과일, 카라멜, 핵과류, 실키",3,4,4,1
블렌드 너티 퍼플,2993,블렌드,미디엄다크,,-,4,1,4,3
온두라스 COE#10 아구아 둘세 게이샤 워시드,4841,싱글오리진,라이트미디엄,,-,3,4,4,2
비터스윗 라이프 에디션2,52,블렌드,다크,,"흑설탕, 카카오닙스, 다크초콜릿, 묵직한 바디와 쌉쌀한 애프터",5,1,4,4
스칼렛,3041,싱글오리진,미디엄다크,,-,4,2,5,2
케냐 가차타 AA,3552,싱글오리진,라이트미디엄,,-,3,4,4,1
Snokel (스노클),3221,블렌드,라이트미디엄,,-,2,2,4,1
안신단고 블렌딩,1118,블렌드,미디엄다크,,견과류,4,3,4,2
펀치,3205,블렌드,다크,,-,3,2,4,2
일랑일랑 블렌드,3013,블렌드,라이트미디엄,,-,3,4,4,1
나탈리,2,블렌드,미디엄,공정무역,"딸기, 와인, 화이트 초콜릿",2,3,5,1
블렌드 B,167,블렌드,라이트미디엄,,"포도, 견과류",3,4,3,2
고소한 빈도,4122,블렌드,미디엄,,-,3,1,5,3
케냐 AA 워시드,1470,싱글오리진,라이트,,"자몽, 라임, 토마토, 자두, 브라운 슈가",3,4,4,1
케냐 바링고 워시드 AB,4015,싱글오리진,미디엄,,-,3,3,4,3
다크브릭스 블렌드,3588,블렌드,미디엄다크,,-,5,1,3,4
플레이어,12,블렌드,미디엄다크,,"초콜릿, 견과류",4,2,4,3
에티오피아 G1 콩가,188,싱글오리진,미디엄,,"꽃향기, 블루베리, 건자두",3,4,3,2
콜롬비아 비야라조 시나몬,3736,싱글오리진,라이트미디엄,,-,3,3,4,3
피크 블렌드,1207,블렌드,미디엄다크,,"카라멜, 밀크초콜릿, 좋은 바디감",3,2,3,2
에티오피아 예가체프 코체레 G2 워시드,3459,싱글오리진,라이트미디엄,유기농,-,2,4,4,1
