coffeeid,body,sour,sweet,bitter,caf,blend,single,지속가능성_0,지속가능성_공정무역,지속가능성_유기농,지속가능성_직접무역,로스팅 포인트_다크,로스팅 포인트_라이트,로스팅 포인트_라이트미디엄,로스팅 포인트_미디엄,로스팅 포인트_미디엄다크,꽃,과일,허브,달콤함,고소함,향료,초콜릿
157,4,3,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0
158,5,1,5,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
159,4,1,4,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
160,4,2,5,3,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1
161,4,4,5,4,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1
162,5,4,5,3,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1
163,5,1,4,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
164,3,2,4,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
165,3,3,3,2,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
166,4,2,4,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
167,5,1,2,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
168,3,4,4,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
169,5,1,4,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
170,4,3,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
171,5,1,4,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
172,4,3,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
173,5,1,4,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
174,2,2,3,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
175,3,1,4,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
176,3,4,4,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
177,2,3,4,2,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
178,4,1,4,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
179,2,3,4,2,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1
180,4,2,5,2,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0
181,4,1,5,2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
182,3,3,4,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
183,3,4,3,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
184,2,3,5,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
185,3,4,4,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
186,3,1,3,2,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1
187,4,1,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
188,3,4,5,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
189,3,3,3,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
190,4,2,4,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
191,3,2,5,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
192,2,4,3,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
193,2,3,5,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
194,5,1,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
195,3,1,2,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
196,4,1,3,5,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
197,4,1,5,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
198,2,2,4,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
199,1,4,4,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
200,2,2,4,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
201,1,4,4,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
202,2,4,3,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
203,4,1,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
204,4,2,4,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
205,5,2,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
206,3,2,4,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
207,4,1,5,5,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
208,4,3,5,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
209,4,3,4,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
210,4,3,4,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
211,5,1,5,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
212,3,2,4,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
213,3,2,4,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
214,3,4,4,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
215,4,1,5,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
